"recipient_state","Harris_disbursement","Trump_disbursement"
"DC",131265354.16,1003421.58
"GA",77354371.7,601055.66
"CA",26991476.7,6765691.31
"PA",15171157.48,1104675.16
"MA",10345451.6,3602003.39
"NY",4645312.42,12598290.82
"MD",2841880.19,932536
"DE",2230769.61,126775.33
"VA",2011868.84,55514765.77
"NJ",1943601.18,1421445.34
"NC",1786183.5,576661.37
"NV",1402548.83,462095.59
"FL",1279572.65,28230806.07
"WI",941403.98,81252.42
"IL",919863.59,498644.35
"TX",763387.24,2098610.31
"WA",467883.58,102084.77
"IN",457738.98,109327.88
"MI",415842.43,258226.72
"AR",412254.76,84202.28
"SC",336234.36,468213.15
"UT",326817.74,783864.69
"CO",305334.53,76961.02
"IA",302432.82,1568989.86
"AZ",288926.8,193009.03
"OH",228258.58,741368.2
"MN",214258.57,42238.77
"OK",177573.45,7547.88
"KY",171084.33,4771.93
"OR",137331.5,5815.18
"NH",125046.66,553725.04
"ME",53703.4,112.82
"CT",52794.53,6438.93
"NM",47039,1221.2
"TN",43677.04,135564.27
"ZZ",38002.4,9735
"NE",35204.45,47630.02
"HI",31304,10000
"MS",30534.7,25000
"MO",24713.82,1156327.01
"KS",20449,193806.88
"LA",13711.85,414665.07
"AK",12265,2500
"VT",9935.21,3150
"AL",9036.13,202931.87
"RI",8659.97,11298.24
"MT",6889,1740
"ID",6445,74000
"WV",4050,93919.8
"WY",3581,556987.5
"PR",3550,NA
"AS",2500,5000
"MP",2500,7500
"ND",2500,20070.65
"SD",2350,NA
"VI",NA,20000
"GU",NA,10000
